x_0    y_0
0 2947.915896
5 3018.209638
10 2897.918515
15 2856.944146
20 2834.708745
25 3076.610662
30 2807.901005
35 2707.283598
40 2923.689887
45 2563.123159
50 2859.814828
55 2837.332840
60 3029.822374
65 2702.289559
70 2658.513477
75 2938.307474
80 2552.221980
85 2590.720537
90 2521.247785
95 2447.139892
