x_0    y_0
0 6299.490139
5 7514.611170
10 7243.383021
15 7101.950789
20 6807.765249
25 6728.160750
30 6558.231973
35 6369.374266
40 6102.248189
45 6054.128176
50 5843.956705
55 5694.135216
60 5524.401403
65 5404.879141
70 5302.846002
75 5146.048043
80 5029.771522
85 4861.384266
90 4781.062142
95 4627.265971
