x_0    y_0
0 57.449465
5 4031.588320
10 4089.181257
15 4408.501505
20 4425.540895
25 4674.981228
30 4629.141689
35 4650.211236
40 4488.554950
45 4674.652150
50 4666.877489
55 4531.742602
60 4479.472075
65 4681.242510
70 4690.610727
75 4706.011574
80 4689.727414
85 4529.990905
90 4477.760547
95 4713.917282
