x_0    y_0
0 2968.741152
5 3231.369035
10 3219.047273
15 3156.807054
20 3140.794779
25 3122.801174
30 3048.742884
35 3075.320395
40 3001.220197
45 2967.105263
50 3024.662869
55 2963.166642
60 2962.142331
65 2907.628485
70 2924.315815
75 2884.871851
80 2879.794888
85 2812.423241
90 2750.882825
95 2694.845444
