x_0    y_0
0 4167.892670
5 4304.853724
10 4170.799298
15 4049.512560
20 3973.685949
25 3892.235727
30 3765.760412
35 3645.706646
40 3626.676572
45 3535.920249
50 3469.668290
55 3404.060306
60 3345.831816
65 3299.258522
70 3231.021617
75 3140.828681
80 3087.060608
85 3039.643406
90 2949.534438
95 2835.663123
